id,company,logo,description,site,address,size,phone,email
171,CÔNG TY TNHH HYBRID TECHNOLOGIES VIỆT NAM,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/eHE3Li8KbUElwJxn2h2cYPCnpatfjA9q_1660016778____cb23fb6c880e50551cbcc4c1cb10164f.jpeg,"Hybrid Technologies Co, Ltd là công ty công nghệ phần mềm liên doanh Nhật  Việt, chính thức thành lập vào tháng 42016 với tiền thân là Evolable Asia Solutions Co, Ltd, phát triển các dịch vụ và mô hình làm việc đa dạng như mô hình hybrid, mô hình ủy thác hay lĩnh vực trí tuệ nhân tạo, Tầm nhìn Vision New view with you  Vươn tới tầm cao mới, Vươn tới thế giới mới, tầm cao mới  Nơi mỗi cá nhân, tập thể tại Hybrid Technologies ngày càng trở nên tuyệt vời hơn thông qua việc cùng nhau phát triển và nỗ lực hiện thực hóa giấc mơ chung, Sứ mệnh Mission Luôn tự phát triển  Đồng hành cùng thành công của khách hàng, Trở thành một công ty công nghệ toàn cầu, một đối tác chuyên nghiệp, tin cậy thông qua việc luôn tự phát triển, song song với việc đồng hành cùng sự phát triển và thành công của khách hàng, Giá trị cốt lõi Core Values,  Giao tiếp Communication Chủ động đối thoại không ngần ngại,  Giải pháp Solution Đưa ra giải pháp khả thi nhất, phù hợp với mọi nhu cầu, hoàn cảnh,  Mối quan hệ Relation Xây dựng mối quan hệ đồng hành, phát triển bền vững và đáng tin cậy, THAM GIA CÙNG CHÚNG TÔI NGAY ",https://www.topcv.vn/cong-ty/cong-ty-tnhh-hybrid-technologies-viet-nam/102560.html,"90 Nguyễn Đình Chiểu, phường Ka Đao, quận 1, thành phố Hồ Chí Minh, Việt Nam.",500-1000,098 1963255,technologiesvietnam@gmail.com
172,CÔNG TY TNHH PLAYCITY,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/4eT8jIVEZ4KyAJ8lHisPTEJ3Vteyc7Ux_1676369725____0a8e776476c6deedd7fedf06370a19d8.jpg,Công ty chuyên các sản phẩm về game Hiện tại công ty đang cần tuyển tất cả các vị trí các level về Unity Dev Với các chế độ lương thưởng hấp dẫn và các chế độ đãi ngộ đặc biệt dành cho tất cả các vị trí Công ty mong muốn được làm việc với các bạn sinh viên năm 4 hoặc các bạn sinh viên có mong muốn học hỏi các kinh nghiệm về Unity Dev Tất cả các bạn trẻ có đam mê về Unity đều được chào đón gia nhập công ty,https://www.topcv.vn/cong-ty/cong-ty-tnhh-playcity/107532.html,"Tầng 7, Toà nhà Spring Heirs, số 9 ngõ 82 Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Quận Cầu Giấy",25-99,098 9161521,tytnhhplaycity@gmail.com
173,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/W5VBpNhKUFG9wbumupC3HFpCggtoTh9V_1657787825____79d856f16bfc01fa82aad2d0536fcb53.jpg,"Tổng Công ty Công nghệ và Giải pháp CMC CMC TS được thành lập trên sự hợp nhất năng lực, kinh nghiệm 4 công ty thành viên thuộc Tập đoàn CMC CMC TS hiện là Top 1 đối tác tư vấn và cung cấp, triển khai giải pháp Chuyển đổi số, Bảo mật, Cloud cho tổ chức và doanh nghiệp tại Việt Nam, CMC TS kế thừa gần 30 năm phát triển và xây dựng các giải pháp tích hợp từ CMC SI, năng lực phát triển và triển khai phần mềm từ CMC Software, nhà cung cấp dịch vụ CNTT và tích hợp số 1 ở thị trường phía Nam CMC SISG cùng nhà cung cấp các giải pháp an ninh an toàn thông tin hàng đầu Việt Nam của CMC Cyber Security, Với đội ngũ 1000 nhân viên toàn quốc, quy mô dự án trải dài 63 tỉnh thành, CMC TS là doanh nghiệp chiến lược và dẫn đầu của Tập đoàn Công nghệ CMC trong việc cung cấp các giải pháp, dịch vụ tổng thể về CNTT, Người CMC TS luôn quyết định và hành động trên định hướng liên tục sáng tạo, đổi mới để đồng hành cùng khách hàng tới thành công Bring Customer To Success Chúng tôi xây dựng đội ngũ trên 5 giá trị cốt lõi là 5C CSpeed, Creativity, Commitment, Customer Centricity, Positive Thinking  Cando Attitude Môi trường làm việc cởi mở, thân thiện và coi trọng phát triển năng lực cá nhân bằng các chính sách đào tạo, thăng tiến, đã và đang giúp người CMC TS gắn bó và đồng hành trong 30 năm qua Với mục tiêu tăng trưởng lên 2500 nhân viên đến năm 2025, chúng tôi tìm kiếm các ứng viên nhiệt huyết, đam mê ở rất nhiều các vị trí công việc khác nhau, Hãy tìm hiểu ngay hôm nay và tham gia mạng lưới nhân tài của chúng tôi tại CMC TS, Website httpscareerscmctscomvn, Fanpage httpswwwfacebookcomCMCTSCareers, LinkedIn httpswwwlinkedincomcompanycmctechnologysolutioncmcts",https://www.topcv.vn/cong-ty/cong-ty-tnhh-tong-cong-ty-cong-nghe-giai-phap-cmc/6525.html,"Tầng 14 & 16, tòa nhà CMC, Duy Tân, Hà Nội, Việt Nam",500-1000,098 3812893,giaiphapcmc@gmail.com
174,Công ty TNHH BOGO Việt Nam,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-tnhh-bogo-viet-nam-57982df95f36e_rs.jpg,"Công ty TNHH BOGO Viêt Nam chinh thưc thanh lâp vao ngay 29022012 Hoat đông trong linh vưc Marketing Online Thi trương cua BOGO Viêt Nam la 100 tai nươc ngoai Cu thê tai 3 nươc chinh  USA, Anh va Canada, Công ty TNHH BOGO Viêt Nam co đôi ngu nhân viên tre trung, năng đông, co môi trương lam viêc hiên đai chuyên nghiêp, chê đô đai ngô canh tranh, yêu tô con ngươi luôn đươc đam bao trên nhât Văn phong BOGO Viêt Nam co đây đu cac Phong Ban, Phong chưc năng, hoat đông theo quy trinh, , Với đich nhăm la thi trương nước ngoài, chúng tôi có nhu cầu tuyển dung thêm một số vi tri như PHP Developer, SEO marketing, Google Ads, Content Tiếng anh, Nêu muôn, hay thư sưc ngay vơi Bogo nhe",https://www.topcv.vn/cong-ty/cong-ty-tnhh-bogo-viet-nam/242.html,"Tòa nhà Golden West Building, số 2, Lê Văn Thiêm, Thanh Xuân, Hà Nội",25-99,098 7393120,bogovietnam@gmail.com
175,Công ty CP Phần mềm MOR,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-cp-phan-mem-mor-45f346dbbf0fa2548fdba128d0ea0539-5e4b4b88ecbfb.jpg,"Về công ty MOR Software JSC là đơn vị chuyên phát triển các sản phẩm, phần mềm MOR có chi nhánh tại Tokyo, Nhật Bản,  Với đội ngũ nhân sự chủ chốt từng có thời gian dài học tập và làm việc tại Nhật Bản, MOR đã và đang xây dựng môi trường làm việc chuyên nghiệp theo phong cách Nhật Bản nhưng luôn đề cao sự cởi mở và thân thiện của các công ty Việt Nam,  Chúng tôi tin rằng nếu gia nhập MOR bạn sẽ khởi đầu một hành trình mới thú vị của mình và có rất nhiều cơ hội trở thành thành viên chủ chốt của công ty trong tương lai,  Do hiện nay công ty đang tập trung làm các dự án outsource cho thị trường Nhật Bản và dự án Product nên các bạn sẽ có điều kiện phát triển các dự án rất đa dạng Qua đó có thể phát triển nhanh hơn các kỹ năng và trau dồi được nhiều kinh nghiệm phát triển dự án, nghiên cứu công nghệ mới cho bản thân hơn, Do nhu cầu mở rộng quy mô, hiện nay MOR đang có nhu cầu tuyển dụng mới cho Văn phòng Hồ Chí Minh, Hà Nội và Đà Nẵng,  Quy mô của công ty 99499 nhân viên,  LOCATION HN Tầng 25, tháp B1, tòa nhà Roman Plaza  Hải Phát, Tố Hữu, Nam Từ Liêm, Hà Nội,  HCM Tầng 10, 235 Cộng Hoà, Phường 13, Quận Tân Bình, Thành Phố Hồ Chí Minh,  COMPANY SIZE",https://www.topcv.vn/cong-ty/cong-ty-cp-phan-mem-mor/14556.html,"Tầng 25, tháp B1, tòa nhà Roman Plaza - Hải Phát, Tố Hữu, Nam Từ Liêm, Hà Nội",100-499,098 5334620,phanmemmor@gmail.com
176,ERAS GROUP,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/U6KAHkUWEYCJiOx7Gk885qKWifvJg0QN_1683273968____454011b5d9893d85fd42df7d46666f27.png,"Eras Group ERG ra đời từ một nhóm các cổ đông chuyên đầu tư phát triển các dự án nhà ở phục vụ nhu cầu phục vụ an cư của người dân cũng như nhu cầu đầu tư bất động sản bền vững của đối tác cá nhân và tổ chức, Trong những bước đầu phát triển từ tháng 06 năm 2016 cho đến nay, ERG với 4 công ty thành viên đang từng bước hoàn thiện để phát triển thành tập đoàn chuyên đầu tư, xây dựng, tư vấn và kinh doanh hùng mạnh, Với tầm nhìn trở thành một trong những Tập đoàn đầu tư, phát triển bất động sản và Nông nghiệp Công nghệ cao NNCNC hàng đầu Việt Nam ERG luôn coi trọng vấn đề về đội ngũ nhân sự, với môi trường làm việc trẻ trung, năng động, đầy đủ các chế độ chính sách phúc lợi, cơ hội phát triển rõ ràng, ERG đã và đang là 1 môi trường có rất nhiều cơ hội phát triển cho các ứng viên tiềm năng",https://www.topcv.vn/cong-ty/eras-group/142312.html,"116A Nguyễn Đình Chiểu, Đa Kao, Quận 1, TP. Hồ Chí Minh",100-499,098 6744426,erasgroup@gmail.com
177,POWERGATE AUSTRALIA (CÔNG TY CỔ PHẦN TẬP ĐOÀN POWERGATE),https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/powergate-australia-cong-ty-co-phan-tap-doan-powergate-61dce0ffe4f6a.jpg,"ABOUT US, We are a Global SOFTWARE PRODUCT STUDIO with over 10 years of experience, across different industries, from healthcare to fintech We are highly concerned with nurturing and bringing to life the innovative ideas of our clients and partners, in such a way that it creates a solution center for the community at large, PowerGate has a plethora of over 200 successfully delivered projects to clients located across the world Our client case studies demonstrate a 96 satisfaction rate, ranging from small startup businesses to multi  national conglomerates, Leading by experienced technology leaders, our team of hundreds of handselected, inhouse engineers is specifically chosen for their modern approach to delivering your innovative software products Together, we have Designed  Developed  Delivered, and Supported projects from their very beginning, all the way through to becoming globally recognized marketleading products Lets join PowerGates strong growth with our dynamic management team, PowerGate is looking for talent to fulfill our missions together, which are,  Building the TOP SOFTWARE PRODUCT STUDIO in Southeast Asia for Global market with 1000 people in  5 years,  BRINGING INNOVATIVE IDEAS TO LIFE through building great software products together with our clients and partners",https://www.topcv.vn/cong-ty/powergate-australia-cong-ty-co-phan-tap-doan-powergate/86097.html,"Tầng 4, Tòa CIC, số 2 Nguyễn Thị Duệ, Phường Yên Hòa, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam",100-499,098 4764793,tapdoanpowergate@gmail.com
178,Công ty TNHH phần mềm Kaopiz,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-tnhh-phan-mem-kaopiz-5ab0b938bc0d2_rs.jpg,"About us, Established on September 29, 2014, Kaopiz today focuses on providing highquality and cost effective software development solutions to its customers Choosing for it the slogan Keep Innovating, the company is striving to ride on Industry 40 wave by leveraging young, talented brainpowers and cross cultural working style From the base in Hanoi, Kaopiz has expanded to Tokyo, building longterm partnerships with many startups as well as high profiled corporations in Japan, Our core businesses,  Business Application Development,  Web Application Development,  Mobile Application Development,  RD of Computational Image Recognition using Artificial Intelligence technologies, Our missions,  Keep Innovating to provide more highquality and cost effective software development solutions,  Create real value for our clients, partners and employees,  Contribute to the development of the society",https://www.topcv.vn/cong-ty/cong-ty-tnhh-phan-mem-kaopiz/8394.html,"Tầng 4- Ct1- tòa Bắc Hà, Tố Hữu, Nam Từ Liêm, Hà Nội",100-499,098 8811175,phanmemkaopiz@gmail.com
179,Công ty Cổ phần Công nghệ Phần mềm Tinh Vân,https://www.topcv.vn/v4/image/topcv-logo-company-default.png,Công ty không cung cấp,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-phan-mem-tinh-van/102136.html,"Tầng 8, Khách sạn Thể thao, Làng sinh viên HACINO, phường Nhân Chính, quận Thanh Xuân, thành phố Hà Nội, Việt Nam.",25-99,098 8555298,memtinhvan@gmail.com
180,Công ty TNHH transcosmos Việt Nam,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-tnhh-transcosmos-viet-nam-61c9331426cc8.jpg,"Công ty transcosmos Vietnam là Công ty 100 vốn đầu tư của tập đoàn Transcosmos Nhật Bản Chúng tôi cung cấp các dịch vụ BPO cũng như dịch vụ chăm sóc khách hàng cho thị trường trong và ngoài Viêt Nam Về dịch vụ BPO, chúng tôi triển khai dịch vụ Offshore hỗ trợ khai thác, thiết kế nhắm tới đối tượng ngành sản xuất xe hơi, máy bay, xây dựng cơ sở hạ tầng cho các khách hàng từ thị trường Nhật bản Với sự thành lập của transcosmos Việt Nam, số lượng trụ sở của công ty trên toàn cầu tăng lên 69, là trụ sở thứ 3 ở khu vực ASEAN sau Thái Lan và Indonesia, , ",https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/39855.html,"Tầng 8 & tầng 20, tòa nhà VTC Online, 18 Tam Trinh, Hai Bà Trưng, Hà Nội",1000+,098 7459798,transcosmosvietnam@gmail.com
181,Công ty Cổ phần Công nghệ KiotViet,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-kiotviet-64085ad510ded.jpg,"Được thành lập năm 2010, với khát khao đưa đến những giải pháp công nghệ với chi phí tiết kiệm và giúp nâng cao hiệu quả kinh doanh của khách hàng, chúng tôi đã không ngừng nỗ lực nghiên cứu, sáng tạo và phát triển để ngày một hoàn thiện và vươn xa hơn KiotViet tự hào về những sản phẩm và dịch vụ mà chúng tôi cung cấp đang ngày càng trở nên phổ biến hơn với khách hàng, chính điều này đã mang đến cho chúng tôi tốc độ tăng trưởng trung bình lên tới 200năm Tại KiotViet, lĩnh vực kinh doanh cốt lõi của chúng tôi là tư vấn, phát triển các sản phẩm, giải pháp về phần mềm và cung cấp đội ngũ các lập trình viên chuyên nghiệp",https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-kiotviet/136233.html,"Tầng 6-7, số 1B Yết Kiêu, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",1000+,098 7841683,congnghekiotviet@gmail.com
182,BLOKPARTI PTE. LTD,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/KOXpwWdDUB5IDVSSap7ae29BwRcAJ72E_1662958749____3075e5df12e42fe06e604f929c0d885f.png," WHO WE ARE  WE ARE BLOKPARTi, tA global startup Singaporebased company with crazily passionate team members from Singapore, Japan and Vietnam, tTogether we are delivering a blockchain game  LABRADO,  Our next project is a web3 social media service that is gonna change the world  BLOKPARTi,  Change the World is also the teams ultimate mission, so every single member is working really really hard each day to make that happen,  WHAT WE PROVIDE YOU, tA dynamic and creative environment to explore the process of the whole company, raise your ideas straight to our profound CEO to make the product better, tA great chance to work with toptier engineers who have 510 years of experience from all around the world,  A remoteworking policy to maximize your comfort and freedom of work, tSalary up to 2500 based on skills and experience",https://www.topcv.vn/cong-ty/blokparti-pte-ltd/118632.html,20 COLLYER QUAY SINGAPORE (049319),25-99,098 6084916,blokpartipteltd@gmail.com
183,Chi nhánh công ty TNHH giao nhận vận tải Hà Thành- Hanotrans Hải Phòng,https://www.topcv.vn/v4/image/topcv-logo-company-default.png,Công ty chưa thêm phần này,https://www.topcv.vn/cong-ty/chi-nhanh-cong-ty-tnhh-giao-nhan-van-tai-ha-thanh-hanotrans-hai-phong/145259.html,"Số 208 đường chùa vẽ, phường đông hải 1, hải an, Hải Phòng",100-499,098 9614687,hanotranshaiphong@gmail.com
184,Công Ty Cổ Phần Xuất Nhập Khẩu May Hải Anh,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cHycmFxsEJNS2mTfmqMWYd8siSW1w9M1_1657597707____ffcd7c2c1eb20e696fcc8ae56d9d06e9.png,"Đồng phục Hải Anh ra đời, tồn tại và phát triển đến ngày hôm nay với sứ mệnh đem đến cho khách hàng những bộ đồng phục chất lượng, xứng đáng là nơi để bạn gửi gắm niềm tin và cả những hi vọng",https://www.topcv.vn/cong-ty/cong-ty-co-phan-xuat-nhap-khau-may-hai-anh/109849.html,Hải Anh Building - 286 Nguyễn Huy Tưởng - Hà Nội,500-1000,098 3117745,mayhaianh@gmail.com
185,Professions.vn,https://www.topcv.vn/v4/image/topcv-logo-company-default.png,"Professions Việt Nam là chiếc cầu nối giúp ứng viên tìm được công việc mơ ước và giúp doanh nghiệpnhà tuyển dụng tìm được đúng người, đúng việc, đúng thời điểm",https://www.topcv.vn/cong-ty/professions-vn/145234.html,"86 Đường Nguyễn Huệ , Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",1-9,098 2800474,professionsvn@gmail.com
186,CÔNG TY TNHH KỸ SƯ CÔNG NGHỆ CAO VN,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-co-phan-ky-thuat-nhan-luc-viet-nam-5a211637f25f4_rs.jpg,"VHEC will become a company that develops through technological innovation and promises to achieve the highest level of customer satisfaction It also aims to provide a comfortable working environment where employees can maximize their potential in their profession and spiritual life, and to serve as a bridge between social contribution and engineering between Japan and Vietnam, VHEC employees play a social role with young, powerful enthusiasm and energy to improve the living standards of Vietnamese people and children, to improve their communities and to improve Vietnam",https://www.topcv.vn/cong-ty/cong-ty-tnhh-ky-su-cong-nghe-cao-vn/6864.html,"Tầng 23, tòa nhà Viwaseen, số 48 Tố Hữu, Trung Văn, Nam Từ Liêm, HN",25-99,098 7591658,nghecaovn@gmail.com
187,Công ty cổ phần chứng khoán FPT,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-co-phan-chung-khoan-fpt-5d807abb59677.jpg,"CÔNG TY CỔ PHẦN CHỨNG KHOÁN FPT tên viết tắt FPTS được cấp phép thành lập và hoạt động theo Giấy phép của Ủy ban Chứng khoán Nhà nước cấp ngày 13072007, với các nghiệp vụ kinh doanh Môi giới chứng khoán Tự doanh chứng khoán Tư vấn đầu tư chứng khoán Lưu ký chứng khoán và Bảo lãnh phát hành chứng khoán, FPTS chính thức niêm yết tai Sơ Giao dịch Chứng khoán TP Hồ Chí Minh HOSE vào tháng 012017, mã chứng khoán là FTS Trải qua gân 15 năm hình thành và phát triển, FPTS đã liên tục gặt hái được rất nhiều thành công, đạt được sự tin tưởng của khách hàng, khẳng định vị trí là công ty chứng khoán hàng đầu tại Việt Nam, Tầm nhìn, FPTS mong muốn trở thành một định chế tài chính hùng mạnh, sự lựa chọn số một của các doanh nghiệp, nhà đầu tư trong và ngoài nước, đóng góp vào sự phát triển bền vững của thị trường chứng khoán Việt Nam, Sứ mệnh, Chúng tôi nỗ lực không ngừng để nâng cao tính chuyên nghiệp, sáng tạo, đạo đức nghề nghiệp qua đó tạo ra sự khác biệt vượt trội cả về nhân lực lẫn công nghệ, nhằm tạo ra những sản phẩm và dịch vụ chất lượng cao nhất, cung cấp cho khách hàng một hệ thống giao dịch thuận tiện, an toàn, nhanh chóng, chính xác, công bằng và minh bạch đạt được tối đa sự hài lòng và tin tưởng của khách hàng, Giá trị cốt lõi, Con người và công nghệ chính là các giá trị cốt lõi của công ty và là kim chỉ nam trong mọi hoạt động, Văn hóa, Tôn trọng  Đổi mới  Đồng đội, Chí công  Gương mẫu  Sáng suốt",https://www.topcv.vn/cong-ty/cong-ty-co-phan-chung-khoan-fpt/490.html,"Tòa Nhà 52 Lạc Long Quân, Tây Hồ, Hà Nội.",100-499,098 6405916,chungkhoanfpt@gmail.com
188,Công Ty TNHH XNK Đại Dương Xanh,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/WpsJfmlRGo5HpfjnFyTgjvVR83cqRbmC_1667190519____4cd0317128a77d942fd0fa5a3c8b31bf.jpg,"Lotus Rice tự hào là thương hiệu đại diện của sản phẩm gạo chất lượng cao và giữ gìn được hương vị truyền thống của người Việt Nam, Trải qua hơn 15 năm chúng tôi đã xa0xây dựng thành công mạng lưới phân phối rộng khắp các châu lục, tự tin xuất khẩu sang hơn 30 quốc gia như Mỹ, Nhật, Anh, Pháp, Đức, Tây Ban Nha, Philippines, Singaphore, Hongkong, và các nước tại khu vực Trung Đông, Do nhu cầu phát triển và mở rộng kinh doanh, công ty cần tuyển dụng các ứng viên có năng lực và nhiệt huyết, mong muốn được phát triển nghề nghiệp, Công ty luôn tạo môi trường làm việc chuyên nghiệp, thân thiện, nhiều cơ hội học tập và thăng tiến, Website httpwwwlotusgourmetcom, httpwwwlotusricevn, httpslotusgrouptalentvn",https://www.topcv.vn/cong-ty/cong-ty-tnhh-xnk-dai-duong-xanh/124619.html,"52 đường số 10, KDC Him Lam, Phường Tân Hưng, Quận 7, TP.HCM",100-499,098 2810751,daiduongxanh@gmail.com
189,CÔNG TY CỔ PHẦN TẬP ĐOÀN KHOÁNG SẢN ĐẦU TƯ HƯNG THỊNH,https://www.topcv.vn/v4/image/topcv-logo-company-default.png,"Công ty Cổ phần Tập đoàn Khoáng sản Đầu tư Hưng Thịnh là Doanh nghiệp có nhiều năm hoạt động trong lĩnh vực khoáng sản, đặc biệt là hiểu biết rõ, sâu sắc về khoáng sản Titan tại Bình Thuận Ngay những năm 2000, chúng tôi đã khai thác, chế biến các sản phẩm tinh quặng Ilmenite, Rutile, Monazite, Zircon, Leucoxen đáp ứng đầy đủ các yêu cầu về chất lượng của khách hàng trong nước và ngoài nước Sản phẩm của Hưng Thịnh từ trước đến nay được dùng làm nguyên liệu đầu vào cho nhiều ngành công nghiệp và được sử dùng rộng rãi trong lĩnh vực sản xuất gạch, gốm, sứ, thủy tinh, sơn, luyện kim , que hàn, bột màu và nguyên liệu đa dạng cho nhiều ngành công nghiệp khác Chiến lược phát triển lâu dài của Công ty là tập trung đầu tư nhà máy chế biến sâu theo quy hoạch của Chính phủ, Trong thời gian qua, mặc dù ngành công nghiệp khai thác và chế biến Titan có nhiều khó khăn do phải từng bước đáp ứng các yêu cầu mới của Chính phủ nhưng Hưng Thịnh vẫn luôn duy trì sản xuất, không ngừng nghiên cứu, đổi mới công nghệ khai thác, chế biến, phát triển sản phẩm có giá trị cao và tìm kiếm mở rộng thị trường xuất khẩu, Chiến lược, mục tiêu phát triển Công ty Cổ phần Tập đoàn Khoáng sản Đầu tư Hưng Thịnh tiếp tục nâng cao năng lực sản xuất, đáp ứng nhu cầu nguyên liệu quặng Titan cho các cơ sở chế biến sâu trong nước Hợp tác đầu tư với đơn vị có tiềm lực để xin cấp phép thăm dò và khai thác khoáng sản Titan trên quy mô lớn, tạo vùng nguyên liệu bền vững Hợp tác với các nhà cung cấp thiết bị ngoài nước nhằm đưa dây chuyền công nghệ chế biến sâu titan xỉ titan, pigment phục vụ cho hoạt động chế biến khoáng sản, tạo được sản phẩm chất lượng cao phục vụ cho các nhu cầu trong nước và xuất khẩu, góp phần phát triển kinh tế  xã hội",https://www.topcv.vn/cong-ty/cong-ty-co-phan-tap-doan-khoang-san-dau-tu-hung-thinh/143619.html,"số 1 Đường số 34, khu phố 2, Phường An Khánh , Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",100-499,098 5022981,tuhungthinh@gmail.com
190,Công ty Cổ phần Viễn thông ASIM,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/3Fz6P2BmltTwgtxc2ci9PB3vWFhzVQ7s_1632111636____eab37bdb7c756829a27d7a819a3cd5b9.png,"Công ty cổ phần viễn thông ASIM ASIM Telecom là nhà phát triển Mạng di động Local, mạng di động thứ 8 của Việt Nam Với sứ mệnh đồng hành và mang tới cho khách hàng một hành trình trọn vẹn và những trải nghiệm không giới hạn, chúng tôi luôn tiên phong nghiên cứu, ứng dụng nhiều công nghệ đột phá mới cùng với đội ngũ kỹ sư và những nhân sự Asim có năng lực cao, nhiệt huyết, máu lửa, Chiến lược phát triển của ASIM là dẫn đầu thị trường, trở thành mạng di động công nghệ, dẫn đầu xu hướng data, mang tới cho khách hàng những trải nghiệm tuyệt vời nhất, Hiện tại chúng tôi đang phát triển ứng dụng myLocalvn với mục tiêu cung cấp tới khách hàng các gói cước 4G, 5G siêu Data tốc độ cao, công nghệ thông minh, trải nghiệm mượt mà với giá không thể hợp lý hơn, ",https://www.topcv.vn/cong-ty/cong-ty-co-phan-vien-thong-asim/75774.html,"1/18 Nguyễn Văn Mại, Phường 4, Tân Bình, Hồ Chí Minh",1000+,098 9594153,vienthongasim@gmail.com
191,Công ty TNHH Samsung Electro-Mechanics Việt Nam,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/uUfw9CPmWdc4VnnwTYbGI992u5W63UE6_1665565177____51d1769faad53cb5c8bb1e0334c0427a.jpeg,Công ty chưa thêm phần này,https://www.topcv.vn/cong-ty/cong-ty-tnhh-samsung-electro-mechanics-viet-nam/122754.html,"KCN Yên Bình, Đồng Tiến, Phổ Yên, Thái Nguyên",5000+,098 3351381,electromechanicsvietnam@gmail.com
192,TỔ CHỨC GIÁO DỤC FPT,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/dai-hoc-fpt-5e6cd019948cb.jpg,"Tổ chức Giáo dục FPT FPT Education là một hệ thống trường thuộc các khối đào tạo khác nhau từ cấp trung học phổ thông, cao đẳng, đại học và sau đại học, các khối liên kết và trao đổi sinh viên quốc tế, , Thành lập năm 1999, trải qua 15 năm hình thành  xây dựng  phát triển, Khối Giáo dục FPT đã trở thành hệ thống giáo dục lớn của Việt Nam, gồm các hệ giáo dục đào tạo THPT, Cao đẳng, Đại học, sau Đại học, đào tạo nghề, đào tạo dành cho khối doanh nghiệp và các dự án ươm tạo Hiện Khối đã đạt quy mô gần 1000 cán bộ, giảng viên và gần 15000 học sinh, sinh viên, học viên ở tất cả các hệ đào tạo, , Với định hướng iGSM  Industry Relevant  Global  Smart Education  Mega, Khối Giáo dục FPT kỳ vọng đưa giáo dục Việt Nam cạnh tranh trên tầm khu vực và thế giới Mục tiêu đến năm 2020 có 100000 sinh viên, trong đó sinh viên nước ngoài chiếm 15, , Xem thêm thông tin về Tổ chức giáo dục FPT Education tại wwwfpteduvn",https://www.topcv.vn/cong-ty/to-chuc-giao-duc-fpt/68.html,"HN: Khu Giáo dục và Đào tạo - Khu Công nghệ cao Hòa Lạc, Km29 Đại lộ Thăng Long, huyện Thạch Thất, TP. Hà NộiHCM: Lầu 2. Tòa nhà Innovation, lô 24, CVPM Quang Trung, P.Tân Chánh Hiệp, Quận 12, TP. Hồ Chí Minh. ĐN: khu đô thị FPT city, Ngũ Hành Sơn, Đà Nẵn",100-499,098 2471113,giaoducfpt@gmail.com
193,"Vietnhien Industries Food Co., Ltd",https://www.topcv.vn/v4/image/topcv-logo-company-default.png,"Chúng tôi thuộc tập đoàn sản xuất kinh doanh thực phẩm, thảo dược quốc tế, Xuất nhập khẩu thảo dược, Xuất khẩu nguyên liệu thực phẩm, thảo dược, Sản xuất thực phẩm, thực phẩm chức năng, thảo dược, ",https://www.topcv.vn/cong-ty/vietnhien-industries-food-co-ltd/49366.html,79 Lê Sao Quận Tânn Phú TP.HCM,25-99,098 9800519,foodcoltd@gmail.com
